Index,To-Closest-Doubles-Sideline-Distance (m),To-Baseline-Distance (m)
1,2.27,4.45
2,2.37,3.68
3,1.72,3.55
4,2.42,5.00
5,2.57,0.34
6,2.37,3.64
7,2.07,2.10
8,2.02,2.93
9,2.17,1.70
10,3.52,4.80
11,2.27,5.35
12,3.47,4.70
13,1.90,3.60
14,2.17,1.35
15,3.71,2.16
16,2.57,0.90
17,3.17,1.38
18,2.72,4.70
