Index,To-Closest-Doubles-Sideline-Distance (m),To-Baseline-Distance (m)
1,3.47,5.30
2,5.07,5.10
3,1.37,2.60
4,3.47,2.90
5,3.87,3.10
6,3.57,4.50
7,2.17,1.90
8,3.67,2.50
9,2.02,1.00
10,1.57,2.55
11,1.92,4.00
12,2.87,5.10
13,1.37,3.30
14,3.23,3.00
15,3.37,1.95
16,3.77,4.80
17,2.02,2.65
18,3.42,2.30
19,2.37,4.80
20,3.57,4.40
